Name,Price
PLUS Snelkookaardappelen,3.39
PLUS Verspakket Indiase dahl,5.89
PLUS Pofaardappel met knoflooksaus,2.25
Aviko Aardappelpuree Fijne Kruiden,2.99
Biologisch PLUS Druiven wit biologisch,2.99
Neutraal Bimi,2.99
Biologisch PLUS Aubergine biologisch,1.89
Neutraal Oregano zakje,1.19
PLUS Kleine salade Quinoa noten,2.99
Biologisch PLUS Witte bonen biologisch,2.49
Neutraal Pittenmix culinair,2.39
Iglo Biologische spinazie a la creme,2.89
PLUS Nederlandse zachte slamelange,1.99
PLUS Verspakket kip piri piri,5.89
Biologisch PLUS Bruine bonen biologisch,2.99
PLUS Verse kokosnootblokjes,4.35
PLUS Verspakket Melanzane,5.89
PLUS Salade Caprese,4.29
Aviko Zoete Aardappel Blokjes,3.49
PLUS Fruitsalade Luxe,2.35
Eat Me Asperges groen,6.39
PLUS Pomelo,2.99
PLUS Aardappel van het seizoen,2.99
PLUS Verspakket Roti masala,5.89
CelaVita Roast Potatoes,3.55
PLUS Sperziebonen (ongesneden),2.19
PLUS Kleine salade Couscous hummus,3.29
Biologisch PLUS Linzen mix biologisch,1.99
PLUS Watermeloen blokjes,1.95
Biologisch PLUS Koningsoesterzwam biologisch,2.79
PLUS Uienmix fijngesneden,1.89
Eat Me Bakbanaan,2.79
PLUS Duo kastanje en oesterzwam,2.49
PLUS Smaakmakermix,2.99
PLUS Mango blokjes,2.49
Biologisch PLUS Shiitake gesneden biologisch,2.99
PLUS Meloen medley,2.35
PLUS Ananas blokjes,2.35
PLUS Fruitsalade Ananas,2.35
Neutraal Verse Atjar,1.89
PLUS Sojabonen,2.49
Neutraal Verse Kimchi,3.49
PLUS Verspakket zoete aardappelstampot,5.89
PLUS Gesneden verspakket Lasagne,6.89
PLUS Verspakket cajun kip,5.89
PLUS Verspakket Indiase butter chicken,5.89
PLUS Verspakket groene curry,5.89
PLUS Druiven rood Candy Hearts,2.99
